id,area,feature,user_story,expected_behavior,hermes_relevance,status,error_notes
F001,cli,--version / -v / version,"As an agent, I want to read the engine version from a single stdout line so I can verify compatibility before running any doc commands.","Reads version via readEngineVersion() from the engine's own package.json, writes it to stdout as `<semver>\n`, exits 0. Identical whether invoked as `htw -v`, `htw --version`, or `htw version`. No config file is read. [code: bin/htw.mjs:96-99]",Hermes calls `npx how-to-work@latest --version` at session start to confirm the pinned/latest engine. Output is a bare semver + trailing newline — trivially parseable. No root or config needed.,tested-pass,
F002,cli,--help / -h / help (or no command),"As an agent, I want a machine-readable command listing so I can discover available subcommands without reading source code.","Writes the HELP constant to stdout, then exits 1 when invoked with NO command, exits 0 with an explicit help flag or the string 'help' (check is `command ? 0 : 1`). Unknown commands write to stderr and exit 1. [code: bin/htw.mjs:91-94, 135-136]","Hermes treats exit-1 from bare `htw` as an expected usage guard, not a crash. `htw --help` exits 0 and is parseable. Unknown-command stderr+exit-1 should be surfaced as a fatal error.",tested-pass,
F003,cli,--root <path> (global flag),"As an agent running in a different working directory than the target repo, I want to aim all operations at a specific repo path without changing my own cwd.","extractRoot() scans the full argv for `--root <value>` or `--root=<value>` anywhere (not just position 0), removes the pair, returns the remainder as `rest`. Engine-native commands (init/check/grill/serve/index) get the resolved absolute root passed explicitly; doc-kit passthrough (new/render/register/verify/contract) is spawned with cwd:root. Defaults to process.cwd() when omitted. [code: bin/htw.mjs:52-69,101-103,126-129; src/commands/doc-kit.mjs:24]",Critical for Hermes driving a specific repo from a shared runtime. Pass `--root /abs/path` before the subcommand so all writes land in the right tree. The flag is consumed before dispatch and never forwarded to a subcommand.,tested-pass,
F004,cli,new --kind <kind> --slug <slug> [--title <title>],"As an agent scaffolding a new document, I want a well-formed .doc.md source with correct frontmatter so I can author content immediately without boilerplate.",--kind must be report|working-doc|prd; --slug required (kebab-case [a-z0-9][a-z0-9-]*); --title defaults to humanize(slug). PRD output: {prdsDir}/{slug}/index.doc.md; report/working-doc: {sourcesDir}/{slug}.doc.md. die() if output exists. PRDs also scaffold empty state.json (initial stage/status/progressPct/next_action) + empty ledger.jsonl so verify passes. Reports each created file to stdout. [code: src/doc-kit.mjs:1693-1751],"Hermes authoring a PRD calls `htw new --kind prd --slug <kebab> --title ""...""`. Must slugify titles before passing. --title is optional but recommended so generated frontmatter carries a human title rather than a humanized slug guess.",fixed,"The slug is not validated against the kebab-case pattern [a-z0-9][a-z0-9-]*. Slug validation in cmdNew only checks 'if (!slug)' (empty check). An invalid slug like 'INVALID SLUG!' is accepted without error, and a directory named 'INVALID SLUG!' is created on disk. The spec says die() should be called for non-kebab-case slugs. | FIXED P3"
F005,cli,render [<slug>|--all],"As an agent that has authored or edited a .doc.md source, I want to re-render it to self-contained HTML so the live doc surface updates.",No args defaults to --all (discovers all .doc.md under sourcesDir + PRD subdirs); --all discovers the same; explicit paths render only those. Validates frontmatter before rendering; die() on any validation error. Output: {prdsDir}/{slug}/index.html (PRDs) or {plansDir}/{slug}.html (reports/working-docs) via outputPathFor(). Reports `rendered <src> -> <out>`. [code: src/doc-kit.mjs:1754-1768],"After editing a .doc.md, Hermes calls `htw render <path/to/source.doc.md>` to update HTML. Full refresh: `htw render --all`. The `rendered <src> -> <out>` lines confirm which files changed.",fixed,"When an absolute path is passed as an explicit render argument, the engine crashes with an unhandled Node.js exception (full stack trace to stderr) rather than a clean error message. Root cause: parseSource() uses path.join(ROOT, srcPath) which does not treat an absolute srcPath as absolute — instead it prepends ROOT to the entire string, doubling the path. The spec says 'explicit paths render only those' without restricting to relative paths, and agents naturally use absolute paths. | FIXED P3"
F006,cli,register [--all] (.json vs .ts catalog),"As an agent that has rendered a doc, I want to add/update its catalog entry so it appears in the index dashboard and is discoverable.","When config.doc.catalogPath ends in .json (public default docs/catalog.json), upserts a plain JSON object into the array, sorted by id for deterministic diffs. When .ts (Homebase legacy src/modules/docs/catalog.ts), in-place splice replaces/appends the TS entry. Redirected docs (frontmatter redirectTo) skipped with a notice. Reports `added <slug>`/`updated <slug>`. Without --all a source path is required. [code: src/doc-kit.mjs:1825-1857]",Hermes calls `htw register --all` (or per-slug) after render to keep the catalog current. JSON catalog is the Hermes-friendly default — a plain array parseable with JSON.parse. The TS path is Homebase-only.,tested-pass,
F007,cli,index (lifecycle dashboard),"As an agent that has updated the catalog, I want to rebuild the docs index page so a human can navigate all docs by lifecycle stage from one HTML entry point.",Reads docs/catalog.json (error if absent or not a JSON array). Buckets entries into Idea/Scoping/Active/Done/Archive via LIFECYCLE_SECTION plus an 'Other' bucket for unrecognized values. Renders each as a card with a segmented stage bar (matching doc theme). Writes self-contained docs/index.html. Reports `wrote docs/index.html (<N> docs)`. Exits 1 if catalog missing or not an array. [code: src/commands/index.mjs:165-263],"Hermes calls `htw index` after any `htw register` that touches the catalog. Idempotent, side-effect-free beyond writing one file. The stdout confirmation + exit code are the only machine-readable outputs.",tested-pass,
F008,cli,verify [--all],"As an agent, I want to validate that every doc source has valid frontmatter, a matching rendered HTML, a catalog entry with correct href, and (PRDs) preserved state/ledger files, so I can gate a deploy or PR on doc health.","Defaults to --all with no args. Per-source PASS/FAIL lines with specific reasons. Validates theme.css (must start at :root after comment strip, balanced braces). JSON catalog: checks id exists + entry.href matches expected route; TS catalog: regex on raw file. Exits 1 if any source or theme fails; exits 0 with `verify: OK (N docs)` otherwise. [code: src/doc-kit.mjs:1860-1990]",Hermes runs `htw verify --all` after render+register for a machine-checkable gate. `PASS <src>`/`FAIL <src>` is parseable (split on first space). The `verify: OK`/`verify: FAILED` summary is the easiest single-line check; exit 1 fails a step without parsing stdout.,tested-pass,
F009,cli,contract (print doc structure contract),"As an agent starting to author docs in an unfamiliar repo, I want a self-contained reference for all required frontmatter, block types, and authoring rules so I produce valid sources without reading source code.","cmdContract() prints a multi-section text contract to stdout via console.log(): doc kinds, required/optional frontmatter, stage bar, custom tabs (@tab), all block types (:::callout/rows/cards/decisions/questions/progress/ledger/resources/html), authoring rules. Output is identical regardless of repo config (describes engine contract, not repo state). No flags, no side effects, exits 0. [code: src/doc-kit.mjs:1627-1691]","Hermes calls `htw contract` once at the start of a doc-authoring task and treats stdout as a system-prompt supplement. Plain text — read as a rules document, not structured data.",tested-pass,
F010,cli,serve (static doc server),"As an agent running a local docs review session, I want a zero-dependency HTTP server serving rendered docs so a human can open them in a browser with no framework or build step.",Binds 127.0.0.1 by default on port 8765 (or config.serve.port). Serves only the /docs/* subtree (GET/HEAD); all other paths return plain-text 404. Directory requests resolve to index.html. Path-traversal guard: resolved file must be inside {root}/docs. Correct MIME from extension; Cache-Control: no-store on every response. Calls configureStore({dataDir: root/data}). Runs forever (never resolves); Ctrl-C to stop. [code: src/commands/serve.mjs:63-132],"Hermes starts `htw serve` (background) to get a live doc server with no custom HTTP layer. For the grill loop it must add --answer-gate; without onAnswer it is mode-2 (local standalone), so Hermes polls /result or uses `htw grill ask` as a blocking subprocess.",resolved-by-design,"The spec says 'all other paths return plain-text 404' for non-/docs/* paths. However, the root path '/' returns HTTP 200 with the full docs/index.html content. serve.mjs line 66 explicitly remaps '/', '/docs', and '/docs/' to '/docs/index.html' before the /docs-subtree guard runs. The spec contract is violated: '/' is not restricted to the /docs subtree and does not return 404. | DECISION P3: '/' intentionally serves docs/index.html (friendly root alias; traversal guard confines to docs/). Expected behavior updated."
